Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Future Value Notional
Fixed,0.03185,nan,0.0,ACT/360,28000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,0.0,ACT/360,28000000.0,EUR,MTH,MTH,0.0
Fixed,0.447,nan,0.0,ACT/360,15000000.0,CHF,MTH,MTH,Float,0.0,CHF.CHF-LIBOR-BBA.6M.CHF-LIBOR-BBA,0.0,ACT/360,15000000.0,CHF,MTH,MTH,0.0
Fixed,0.896,nan,0.0,ACT/360,800000000.0,NOK,MTH,MTH,Float,0.0,NOK.NOK-NIBOR-OIBOR.6M.NOK-NIBOR-OIBOR,0.0,ACT/360,800000000.0,NOK,MTH,MTH,0.0
Fixed,0.052,nan,0.0,ACT/360,750000000.0,SEK,MTH,MTH,Float,0.0,SEK.SEK-STIBOR-SIDE.3M.SEK-STIBOR-SIDE,0.0,ACT/360,750000000.0,SEK,MTH,MTH,0.0
Fixed,0.052,nan,0.0,ACT/360,750000000.0,SEK,MTH,MTH,Float,0.0,SEK.SEK-STIBOR-SIDE.3M.SEK-STIBOR-SIDE,0.0,ACT/360,750000000.0,SEK,MTH,MTH,0.0
Fixed,7.2975,nan,0.0,ACT/365.FIXED,100000000.0,ZAR,MTH,MTH,Float,0.0,ZAR.ZAR-JIBAR-SAFEX.3M.ZAR-JIBAR-SAFEX,0.0,ACT/365.FIXED,100000000.0,ZAR,MTH,MTH,0.0
Fixed,6.43,nan,0.0,ACT/360,460000000.0,MXN,MTH,MTH,Float,0.0,MXN.MXN-TIIE-Banxico.28D.MXN-TIIE-Banxico,0.0,ACT/360,460000000.0,MXN,MTH,MTH,0.0
Fixed,1.61,nan,0.0,ACT/365.FIXED,24000000.0,CAD,MTH,MTH,Float,0.0,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,0.0,ACT/365.FIXED,24000000.0,CAD,MTH,MTH,0.0
Fixed,2.08375,nan,0.0,ACT/365.FIXED,10000000.0,CAD,MTH,MTH,Float,0.0,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,0.0,ACT/365.FIXED,10000000.0,CAD,MTH,MTH,0.0
Fixed,1.61275,nan,0.0,ACT/365.FIXED,24000000.0,CAD,MTH,MTH,Float,0.0,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,0.0,ACT/365.FIXED,24000000.0,CAD,MTH,MTH,0.0
Fixed,2.08375,nan,0.0,ACT/365.FIXED,10000000.0,CAD,MTH,MTH,Float,0.0,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,0.0,ACT/365.FIXED,10000000.0,CAD,MTH,MTH,0.0
Fixed,1.901,nan,0.0,ACT/360,2000000000.0,CZK,MTH,MTH,Float,0.0,CZK.CZK-PRIBOR-PRBO.6M.CZK-PRIBOR-PRBO,0.0,ACT/360,2000000000.0,CZK,MTH,MTH,0.0
